parameter_name,Fat mass
pvalue,0.7062306
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
analysis_id,2v74a8x7gh2xsn7
