analysis_id,na4a1679bj9vv1p
pvalue,0.8435962
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1919949
parameter_name,Right kidney weight
gene_symbol,Lime1
