gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,u96s3370j7t283r
parameter_name,Total food intake
pvalue,0.7180683
