parameter_name,White blood cell-count
mouse_strain,C57BL
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
gene_symbol,Bmi1
parameter_id,M-G-P_016_001_001
pvalue,0.6893676
analysis_id,dzld782o8f210ux
