parameter_name,Embryo Size
parameter_id,IMPC_GEO_019_001
analysis_id,txra88140d9t4oq
gene_accession_id,MGI:1921493
pvalue,0.5536087
gene_symbol,Slx4ip
mouse_life_stage,Early adult
mouse_strain,C57BL
