parameter_name,Lumbar processes
gene_symbol,Eprs1
parameter_id,IMPC_XRY_065_001
mouse_life_stage,E9.5
pvalue,0.8277045
gene_accession_id,MGI:97838
mouse_strain,C57BL
analysis_id,11vpct2o525106x
