analysis_id,0iq93524qe73x95
parameter_name,Red blood cell count
gene_symbol,Inpp1
pvalue,0.2072189
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
parameter_id,IMPC_HEM_002_001
