gene_symbol,Ufc1
pvalue,0.1438026
analysis_id,6k4nzk5559quz75
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_013_001
