gene_symbol,Morn5
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
pvalue,0.5215972
analysis_id,c8f0s9j60uo2hne
