parameter_name,Shape of vertebrae
analysis_id,vu66ju5gdc141n8
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C55BL
pvalue,0.8652391
parameter_id,IMPC_XRY_018_001
mouse_life_stage,E18.5
