parameter_id,JAXLA_DXA_003_001
gene_symbol,F2
pvalue,0.122755
parameter_name,Lean mass
analysis_id,46880g4vnk95x4d
gene_accession_id,MGI:88380
mouse_strain,C57BL
mouse_life_stage,Early adult
