parameter_name,Response amplitude - S
gene_accession_id,MGI:95457
analysis_id,1zy3495e7k54e5j
pvalue,0.3910361
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,IMPC_ACS_006_001
