analysis_id,2v1pby8ki483gdh
gene_accession_id,MGI:88461
mouse_strain,C57BL
pvalue,0.1036144
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
gene_symbol,Col6a3
