analysis_id,x7565x7e407585d
mouse_life_stage,Early adult
parameter_name,Body Weight
gene_accession_id,MGI:106100
pvalue,0.4226365
gene_symbol,Etfdh
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
