gene_symbol,Mov10
mouse_strain,C57BL
pvalue,0.189222
analysis_id,4190186ou3ng04n
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
parameter_name,Fasted blood glucose concentration
