parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
parameter_name,Glucose
pvalue,0.5256823
analysis_id,2qi1bh9t3t18o6y
