analysis_id,ldl2190926k0zf1
Gene_accession_id,MGI:1915087
Mouse_life_stage,E12.5
gene_symbol,Tiprl
pvalue,0.1322933
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
parameter_name,Dark side time spent
