analysis_id,5a5rj2dx0z1s9xp
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.05254716
mouse_strain,C57BL
gene_symbol,Ntmt2
