parameter_name,Total food intake
mouse_life_stage,Early adult
gene_symbol,Ap5s1
analysis_id,qgk58848ai3sm40
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
pvalue,0.5358033
gene_accession_id,MGI:1916846
