parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
gene_symbol,Col6a3
mouse_strain,C57BL
analysis_id,76uu8plg2n5d524
gene_accession_id,MGI:88461
pvalue,0.7348957
mouse_life_stage,Early adult
