analysis_id,54t8al6oob3n767
parameter_name,Startle response
gene_accession_id,MGI:107414
mouse_strain,C57BL
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_013
pvalue,0.3085781
