analysis_id,d6wqs6xe8y03311
gene_accession_id,MGI:95457
parameter_id,IMPC_HEM_006_001
mouse_strain,C3H
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Mecom
pvalue,0.8774593
mouse_life_stage,Early adult
