analysis_id,v2hdl9rj89o9810
pvalue,0.9393474
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
parameter_id,IMPC_IMM_046_001
