analysis_id,273l8ys0qj97ls7
gene_accession_id,MGI:109356
parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Late adult
pvalue,0.1749647
