parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
gene_symbol,Col6a3
analysis_id,5pt2ifjwtblyvl3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_id,M-G-P_007_001_008
pvalue,0.7106189
