parameter_name,Thyroxine
analysis_id,31k2g0ura7k0zdv
parameter_id,IMPC_CBC_053_001
gene_symbol,Rgs20
pvalue,0.1228452
mouse_strain,C57BL
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
