parameter_name,Midbrain
analysis_id,79qyro64709n492
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
gene_symbol,Slc45a3
pvalue,0.7142984
gene_accession_id,MGI:1922082
