analysis_id,392h46p5qqvr889
pvalue,0.2128434
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
mouse_life_stage,E15.5
parameter_id,MGP_IMM_048_001
