analysis_id,mz7fptobc31w80z
gene_accession_id,MGI:1346088
parameter_id,UCD_OWT_003_001
pvalue,0.8925737
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cd52
parameter_name,Spleen weight
