analysis_id,8siac831rgxdw98
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:2441730
pvalue,0.180363
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
