parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
analysis_id,o5w0v4h7kupuz31
parameter_name,Startle response
pvalue,0.3466648
mouse_life_stage,Early adult
gene_symbol,Car13
