parameter_name,Weight
mouse_strain,C57BL
analysis_id,w42zp17q3951p8g
gene_accession_id,MGI:1927232
pvalue,0.8953152
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
gene_symbol,Rab13
