analysis_id,1x6129mcb15957c
parameter_name,BMC/Body weight
gene_accession_id,MGI:97613
mouse_strain,C58BL
mouse_life_stage,Late adult
gene_symbol,Plcb1
parameter_id,IMPC_DXA_007_001
pvalue,0.6451984
