analysis_id,a8kdc47vcll5o6j
gene_symbol,Rab17
mouse_life_stage,Early adult
parameter_name,Tibia length
pvalue,0.7331938
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:104640
