parameter_name,Chloride
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
analysis_id,i6hpi7616r7nvt6
parameter_id,IMPC_CBC_003_001
gene_symbol,Gpbp1l1
pvalue,0.5666851
mouse_strain,C57BL
