parameter_name,QT
parameter_id,IMPC_ECG_028_001
mouse_life_stage,Early adult
analysis_id,0121658033j21by
pvalue,0.3712233
gene_symbol,Rab22a
mouse_strain,C57BL
gene_accession_id,MGI:105072
