analysis_id,1tu9sn26i9p8ac7
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
gene_symbol,Frmpd1
parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.6026713
gene_accession_id,MGI:2446274
