analysis_id,9n09m9p280zkl9z
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_name,Vibrissae - presence
pvalue,0.9949356
mouse_life_stage,Early adult
gene_symbol,Morn5
parameter_id,JAXLA_CSD_023_001
