mouse_strain,129SV
pvalue,0.3344248
parameter_name,Persistence of hyaloid vascular system
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_id,IMPC_EYE_027_001
analysis_id,tskj8vy2w63m14y
