analysis_id,i7c5f6xva7hzfe3
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
gene_symbol,AU040320
pvalue,0.8527032
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
