analysis_id,v930ollk24c0fro
gene_symbol,Mecom
mouse_strain,C3H
pvalue,0.7351663
parameter_name,Startle response
gene_accession_id,MGI:95457
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
