parameter_name,Eosinophils
analysis_id,zz5x1ihu9lw21l7
gene_accession_id,MGI:1913576
pvalue,0.2162176
gene_symbol,Dnajc5b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_052_001
