analysis_id,3g15azz3z060o3a
parameter_name,LVIDd
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
pvalue,0.9356681
gene_symbol,Hspa5
mouse_life_stage,E9.5
