analysis_id,8f9tb37k54328q0
mouse_strain,C57BL
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_name,Snout size
mouse_life_stage,Early adult
pvalue,0.5522899
parameter_id,IMPC_CSD_028_001
