gene_symbol,Cmpk1
pvalue,0.7835037
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,z7w0x4c38cg8do9
mouse_life_stage,Early adult
