analysis_id,278ag93hvrqi4y3
parameter_name,Tremor
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_id,TCPLA_CSD_030_001
gene_symbol,Dmap1
pvalue,0.4751227
