parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.326962
parameter_id,IMPC_IMM_025_001
analysis_id,ce2f1p497f122w4
gene_accession_id,MGI:104848
