analysis_id,yhndyoi2l22dx8z
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cpa3
pvalue,0.7625267
parameter_id,MGP_IMM_130_001
