parameter_name,Weight
gene_symbol,Zcchc2
analysis_id,8zjj1264o7ill50
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
pvalue,0.3462548
parameter_id,CCP_LFO_001_001
