parameter_name,Centre resting time
mouse_strain,C57BL
gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.4935219
analysis_id,2lkzrf33dgcj7ce
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:1913838
