analysis_id,9q3mbrjvze1gb86
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
pvalue,0.3520112
gene_symbol,Wars2
gene_accession_id,MGI:1917810
