analysis_id,196f2115y1laje0
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
pvalue,0.5854285
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_name,% Pre-pulse inhibition - PPI3
