gene_symbol,Cd52
parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:1346088
mouse_strain,C57BL
pvalue,0.2442358
analysis_id,h473ig75a8ru703
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
