analysis_id,9kqz549g3j1zoxb
parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
pvalue,0.2285336
mouse_strain,129SV
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
