analysis_id,j1pn0f4v1osc5x3
parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
gene_symbol,Tox
pvalue,0.7531579
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
