analysis_id,fljyilpv31rf4d4
mouse_strain,C57BL
pvalue,0.05178677
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:109384
gene_symbol,Atf3
