analysis_id,l9xc431st44l24e
gene_symbol,Tiprl
pvalue,0.4401839
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Global prepulse inhibition
