analysis_id,01kt2hksk0xzd7j
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Macrophages - % of CD45+
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
pvalue,0.4046383
gene_symbol,Kdm4c
