gene_symbol,Rap2b
analysis_id,k22b8st9y4108v8
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
pvalue,0.6410857
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
