analysis_id,j5832j896g380d8
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
pvalue,0.5280317
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
