analysis_id,gq0m25l32xj42ac
parameter_name,Body Weight
mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.4826065
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,M-G-P_020_001_001
