analysis_id,40gj05244585p1z
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
parameter_id,HRWLLA_OFD_017_001
pvalue,0.3925803
parameter_name,Center average speed
mouse_strain,C57BL
