analysis_id,w2002lw15m2m904
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.09068764
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
parameter_name,Vocalization
mouse_strain,C57BL
