analysis_id,y0v2t35k4kq0al5
gene_accession_id,MGI:1929866
mouse_strain,C57BL
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
pvalue,0.365662
gene_symbol,Rgs20
parameter_name,Mean cell volume
